ID,ID JUEGO,TEMA ,SUBTEMA,TEXTO INTRODUCTORIO,PREGUNTA,RESPUESTAS A,RESPUESTA B,RESPUESTA C,RESPUESTA CORRECTA,TEXTO FINAL,CALIFICACIÓN 1-5
,111,Ecología y ambiente,energía atómica,"La energía nuclear es un tema controversial en la sociedad moderna. Si bien es una de las fuentes de energía más potentes y eficientes, su uso también representa grandes riesgos para la salud y el ambiente.",¿Qué elemento se utiliza como combustible en las centrales nucleares?,Carbón,Uranio,Gas natural,B,"A pesar de ser una fuente de energía potente y eficiente, su uso también tiene consecuencias negativas para el ambiente, como la generación de residuos radiactivos y el riesgo de accidentes nucleares.",4
,112,Ecología y ambiente,ecosistema,"Este pequeño marsupial, nativo de Australia, es conocido por su aspecto adorable y su bolsa en la que lleva a sus crías. Sin embargo, su población está disminuyendo rápidamente debido a la pérdida de su hábitat y la introducción de depredadores no nativos.",¿De qué animal estamos hablando?,Koala,Demonio de Tasmania,Wombat,A,"La introducción de depredadores no nativos, como los perros y los zorros, también representa una amenaza para su supervivencia. Además, su población está disminuyendo rápidamente debido a la pérdida de su hábitat a causa de la deforestación, incendios forestales y urbanización.",3
,113,Ecología y ambiente,,"El monocultivo se asocia a la producción de alimentos, pero también se utiliza en la industria textil, farmacéutica y de cosméticos.",¿Cuál es la principal consecuencia social del monocultivo?,Desplazamiento de poblaciones rurales,Mejora en las condiciones laborales de los trabajadores,Aumento en el acceso a productos a nivel local,A,"La principal consecuencia social del monocultivo es la dependencia económica y la vulnerabilidad de las comunidades que dependen de un solo cultivo. Además, el monocultivo también puede llevar a la concentración de tierras y recursos en manos de grandes empresas, lo que puede resultar en desplazamiento de comunidades locales y conflictos sociales.",5
,114,Ecología y ambiente,agricultura,La demanda de fertilizantes biológicos ha aumentado debido a la promoción de una agricultura sostenible y la preservación de la biodiversidad.,¿Cómo se denomina al fertilizante de origen biológico formulado a base de organismos vivos (hongos y bacterias) que se aplica a la semilla para facilitar el crecimiento y aumentar o mantener su crecimiento?,Nitrogenado,Pesticida,Inoculante agrícola,C,"La inoculación es una opción amigable con el ambiente porque permite reducir el uso de fertilizantes químicos, disminuir la huella de carbono, preservar el agua y fijar nitrógeno atmosférico.",4
,115,Ecología y ambiente,bomba nuclear,"El Proyecto Manhattan fue un proyecto de investigación y desarrollo llevado a cabo durante la Segunda Guerra Mundial que produjo las primeras armas nucleares, liderado por los Estados Unidos con el apoyo del Reino Unido y de Canadá.",¿Cómo se denominó la primera detonación de un arma nuclear de la historia?,Manhattan,Trinity,Alamogordo,B,"El primer artefacto nuclear detonado fue una bomba de implosión en la prueba Trinity, realizada en el campo de tiro y bombardeo de Alamogordo el 16 de julio de 1945. Otras dos bombas de tipo Little Boy y Fat Man se utilizaron respectivamente un mes después en los bombardeos atómicos de Hiroshima y Nagasaki.",4
,116,Ecología y ambiente,,"El uso de plásticos de un solo uso se ha convertido en un problema grave para los océanos del mundo. Millones de toneladas de plásticos terminan en los mares, afectando a la fauna marina y los ecosistemas acuáticos.",¿Cuántos años tarda una botella de plástico en degradarse completamente en el océano?,Entre 10 y 20 años,Entre 50 y 90 años,Entre 100 y 1000 años,C,Una botella de plástico tarda entre 100 y 1000 años en degradarse completamente en el océano. Fuente: National Geographic.,5
,121,Ecología y ambiente,superadobe,"""La tierra y el fuego son los elementos más antiguos, y con ellos podemos construir hogares que estén en armonía con la naturaleza y las necesidades humanas.""",¿Qué arquitecto dijo esa frase?,Antoni Gaudí,Zaha Hadid,Nader Khalili,C,"Nader Khalili (1936-2008) famoso arquitecto iraní-estadounidense, creó el sistema de construcción Superadobe, de alta resistencia y perdurabilidad ante situaciones adversas.",3
,122,Ecología y ambiente,biodiversidad,La biodiversidad es la variedad de vida en la Tierra y es fundamental para el funcionamiento de los ecosistemas y el bienestar humano.,¿Cuál es la principal causa de la pérdida de biodiversidad en la actualidad?,Los tsunamis,Los terremotos,La destrucción de hábitats naturales,C,"La expansión de la agricultura, la urbanización, la deforestación, la minería y otras actividades humanas han llevado a la pérdida y fragmentación de los hábitats naturales, lo que reduce el espacio disponible para muchas especies y afecta su capacidad de sobrevivir y reproducirse.",3
,123,Ecología y ambiente,,"Una dieta alta en carne no solo tiene un impacto ambiental significativo, sino que también puede ser perjudicial para la salud humana.",¿Qué porcentaje de enfermedades cardíacas se atribuyen al consumo excesivo de carne roja?,20 %,3%,65 %,A,"La carne roja, especialmente la procesada, contiene grasas saturadas, colesterol y altos niveles de sodio, lo que puede elevar los niveles de colesterol en la sangre, aumentar la presión arterial y contribuir al desarrollo de enfermedades cardiovasculares. Reducir el consumo de carne roja y optar por una dieta equilibrada, rica en frutas, verduras, granos enteros y proteínas vegetales, puede ser beneficioso para la salud cardíaca a largo plazo.",5
,124,Ecología y ambiente,,La Convención de las Naciones Unidas sobre la Diversidad Biológica tiene como objetivo la conservación y el uso sostenible de la diversidad biológica.,¿Qué porcentaje de especies animales y vegetales se estima que se perderán para el año 2050?,Entre el 5 y el 8 %,Entre el 10 y el 15 %,Entre el 30 y el 40 %,C,Se estima que aproximadamente el 30 % de las especies animales y vegetales del mundo se perderán para el año 2050 si no se toman medidas para conservar los ecosistemas que sustentan la vida en la Tierra.,5
